Epoch:188   Accuracy:58.97
Epoch:189   Accuracy:59.28
Epoch:190   Accuracy:59.03
Epoch:191   Accuracy:59.43
Epoch:192   Accuracy:59.11
Epoch:193   Accuracy:59.23
Epoch:194   Accuracy:59.23
Epoch:195   Accuracy:59.42
Epoch:196   Accuracy:58.86
Epoch:197   Accuracy:59.44
Epoch:198   Accuracy:59.30
Epoch:199   Accuracy:59.28
Epoch:200   Accuracy:59.21
